symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
GUJALKALI,595.60,598.05,588.65,594.00,1.40,0.24,0.20,0.02,1.19,0.01,"1,044.70",588.65,237.20,153.60,31-DEC-2999,-,592.60,-,1.40,0.24,-24.20,-9.61
ZFCVINDIA,"10,095.50","10,192.40","10,003.55","10,119.30",23.80,0.24,0.01,0.00,0.66,0.01,"10,924.05","6,876.50",.00,.00,31-DEC-2999,-,"10,095.50",-,23.80,0.24,-,-
ORIENTELEC,270.50,271.75,269.15,271.00,0.65,0.24,0.18,0.02,0.49,0.00,358.00,244.00,.00,.00,09-FEB-2023,INTERIM DIVIDEND - RE 0.75  PER SHARE,270.35,-,0.65,0.24,-16.82,-2.25
BAYERCROP,"3,992.65","3,996.95","3,970.00","3,994.00",8.90,0.22,0.01,0.00,0.57,0.01,"5,667.75","3,949.00","3,149.00","1,378.00",31-DEC-2999,-,"3,985.10",-,8.90,0.22,-14.67,-9.99
CARBORUNIV,955.00,956.95,946.00,953.15,2.10,0.22,0.16,0.02,1.48,0.01,"1,045.70",652.00,221.00,123.25,10-FEB-2023,INTERIM DIVIDEND - RS 1.50 PER SHARE,951.05,-,2.10,0.22,25.16,-3.08
MOTILALOFS,560.00,562.30,556.00,560.55,1.15,0.21,0.30,0.03,1.70,0.02,960.00,556.00,269.00,71.95,03-FEB-2023,INTERIM DIVIDEND - RS 7 PER SHARE,559.40,-,1.15,0.21,-36.35,-14.76
IDFC,80.25,80.75,79.40,80.50,0.15,0.19,50.42,5.04,40.42,0.40,92.40,42.20,166.65,88.05,13-FEB-2023,SPECIAL DIVIDEND - RS 11 PER SHARE,80.35,-,0.15,0.19,33.50,7.26
IRFC,26.90,26.95,26.70,26.85,0.05,0.19,35.27,3.53,9.45,0.09,37.10,19.30,.00,.00,31-DEC-2999,-,26.80,-,0.05,0.19,20.13,-4.96
APLLTD,489.65,492.70,487.00,490.55,0.90,0.18,0.11,0.01,0.56,0.01,792.90,476.05,467.60,190.05,31-DEC-2999,-,489.65,-,0.90,0.18,-33.45,-5.75
HATSUN,828.20,836.00,821.25,834.35,1.50,0.18,0.05,0.00,0.40,0.00,"1,158.02",805.07,379.90,248.05,31-DEC-2999,-,832.85,-,1.50,0.18,-28.71,-6.64
SFL,"1,063.90","1,063.90","1,051.00","1,055.10",1.75,0.17,0.05,0.01,0.56,0.01,"2,027.50","1,050.00",.00,.00,31-DEC-2999,-,"1,053.35",-,1.75,0.17,-68.24,-7.01
DCMSHRIRAM,803.00,809.80,801.55,803.75,1.30,0.16,0.05,0.01,0.41,0.00,"1,263.85",800.45,251.85,73.55,01-FEB-2023,INTERIM DIVIDEND - RS 5.80 PER SHARE,802.45,-,1.30,0.16,-24.37,-7.34
UBL,"1,440.50","1,441.90","1,428.70","1,438.80",2.35,0.16,0.32,0.03,4.54,0.05,"1,806.45","1,380.00",859.00,615.65,31-DEC-2999,-,"1,436.45",-,2.35,0.16,0.12,-1.74
RADICO,"1,199.75","1,222.00","1,186.90","1,198.55",1.65,0.14,0.63,0.06,7.61,0.08,"1,230.00",723.20,171.80,75.95,31-DEC-2999,-,"1,196.90",-,1.65,0.14,31.74,9.66
GRANULES,281.05,281.95,278.60,281.10,0.40,0.14,3.02,0.30,8.46,0.08,381.00,226.95,940.00,163.15,31-DEC-2999,-,280.70,-,0.40,0.14,-9.60,-1.80
GAEL,245.00,247.60,243.05,244.95,0.35,0.14,0.71,0.07,1.74,0.02,394.15,215.40,69.00,25.60,31-DEC-2999,-,244.60,-,0.35,0.14,-0.53,0.91
MOIL,149.80,149.80,148.10,148.65,0.20,0.13,0.23,0.02,0.34,0.00,197.40,137.30,341.70,210.35,08-FEB-2023,INTERIM DIVIDEND - RS 3 PER SHARE,148.45,-,0.20,0.13,-18.48,-5.62
TATACOMM,"1,224.00","1,231.60","1,214.55","1,223.35",1.45,0.12,1.39,0.14,17.00,0.17,"1,430.60",856.25,462.40,258.50,31-DEC-2999,-,"1,221.90",-,1.45,0.12,3.30,-0.58
DEEPAKNTR,"1,810.05","1,824.45","1,797.35","1,812.50",2.20,0.12,1.03,0.10,18.59,0.19,"2,391.00","1,681.15",105.00,28.70,31-DEC-2999,-,"1,810.30",-,2.20,0.12,-18.38,0.45
GALAXYSURF,"2,392.35","2,411.45","2,380.55","2,390.85",2.55,0.11,0.03,0.00,0.70,0.01,"3,447.55","2,302.35",.00,.00,20-FEB-2023,INTERIM DIVIDEND - RS 18 PER SHARE,"2,388.30",-,2.55,0.11,-18.65,-0.53
JBCHEPHARM,"1,952.00","1,974.45","1,952.00","1,971.00",2.25,0.11,0.05,0.00,0.98,0.01,"2,150.00","1,342.20",257.90,108.35,17-FEB-2023,INTERIM DIVIDEND - RS 8.50 PER SHARE,"1,968.75",-,2.25,0.11,24.37,0.68
RBA,89.85,90.55,89.70,90.00,0.10,0.11,0.82,0.08,0.74,0.01,137.80,86.50,.00,.00,31-DEC-2999,-,89.90,-,0.10,0.11,-11.29,-8.35
POWERINDIA,"3,360.00","3,388.45","3,325.05","3,360.50",3.35,0.10,0.05,0.01,1.75,0.02,"3,915.00","2,750.10",.00,.00,31-DEC-2999,-,"3,357.15",-,3.35,0.10,-0.33,10.17
MHRIL,263.75,266.75,259.75,264.70,0.25,0.09,0.43,0.04,1.12,0.01,313.60,195.00,339.00,218.00,31-DEC-2999,-,264.45,-,0.25,0.09,16.53,-3.61
JBMA,639.00,650.00,636.15,639.50,0.60,0.09,2.63,0.26,16.95,0.17,672.90,361.00,311.80,14.75,31-DEC-2999,-,638.90,-,0.60,0.09,46.07,11.12
NAVINFLUOR,"4,270.00","4,298.95","4,217.90","4,267.20",3.60,0.08,0.48,0.05,20.26,0.20,"4,848.35","3,432.85",715.00,238.00,31-DEC-2999,-,"4,263.60",-,3.60,0.08,7.04,0.54
