symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
SAPPHIRE,"1,178.00","1,194.80","1,175.00","1,182.30",-6.20,-0.52,0.03,0.00,0.33,0.00,"1,574.00",909.00,.00,.00,31-DEC-2999,-,"1,188.50",-,-6.20,-0.52,-10.70,-4.38
KNRCON,255.00,255.45,252.00,252.50,-1.40,-0.55,0.25,0.03,0.64,0.01,297.00,202.70,332.85,79.00,31-DEC-2999,-,253.90,-,-1.40,-0.55,-11.11,-1.39
JAMNAAUTO,99.45,99.45,98.15,98.55,-0.55,-0.55,0.99,0.10,0.97,0.01,135.50,96.85,175.90,51.50,31-DEC-2999,-,99.10,-,-0.55,-0.55,-1.35,-3.14
TEJASNET,593.45,597.65,584.00,587.20,-3.25,-0.55,0.91,0.09,5.36,0.05,773.00,377.05,.00,.00,31-DEC-2999,-,590.45,-,-3.25,-0.55,53.08,-2.60
BALAMINES,"2,078.00","2,088.75","2,052.75","2,053.00",-11.80,-0.57,0.14,0.01,2.86,0.03,"3,844.00","1,975.00",99.25,33.80,31-DEC-2999,-,"2,064.80",-,-11.80,-0.57,-33.58,-6.64
KARURVYSYA,97.60,98.25,96.55,96.75,-0.55,-0.57,4.14,0.41,4.03,0.04,116.20,41.75,558.70,310.10,31-DEC-2999,-,97.30,-,-0.55,-0.57,109.64,-3.01
TCNSBRANDS,455.65,455.65,446.15,448.60,-2.60,-0.58,0.22,0.02,0.97,0.01,888.60,431.25,.00,.00,31-DEC-2999,-,451.20,-,-2.60,-0.58,-43.00,-2.62
SHILPAMED,242.90,243.55,238.20,240.20,-1.45,-0.60,5.42,0.54,12.97,0.13,503.00,231.00,585.00,239.05,31-DEC-2999,-,241.65,-,-1.45,-0.60,-40.21,-19.18
RHIM,610.25,614.40,602.25,603.55,-3.65,-0.60,0.49,0.05,2.96,0.03,892.90,455.70,111.00,35.50,31-DEC-2999,-,607.20,-,-3.65,-0.60,0.31,-4.77
WELSPUNIND,66.05,66.30,64.90,65.65,-0.40,-0.61,1.87,0.19,1.22,0.01,101.45,62.20,407.70,65.60,31-DEC-2999,-,66.05,-,-0.40,-0.61,-33.82,-7.21
SUNTECK,298.85,298.90,295.75,296.90,-1.85,-0.62,0.12,0.01,0.34,0.00,539.00,295.00,380.00,221.15,31-DEC-2999,-,298.75,-,-1.85,-0.62,-31.84,-6.46
MAPMYINDIA,"1,074.90","1,080.00","1,058.50","1,062.60",-6.70,-0.63,0.07,0.01,0.76,0.01,"1,716.45","1,022.00",.00,.00,31-DEC-2999,-,"1,069.30",-,-6.70,-0.63,-32.55,-7.98
JMFINANCIL,62.50,63.30,61.70,61.85,-0.40,-0.64,2.34,0.23,1.45,0.01,84.90,57.10,52.80,23.30,31-DEC-2999,-,62.25,-,-0.40,-0.64,-6.99,-3.13
